method,annualised_return,annualised_volatility,sharpe,max_drawdown
min_variance,0.05700204628679306,0.12763893112794905,0.4465882453187619,-0.14967035411622776
min_variance_basic_sentiment,0.05645447976073115,0.12773302705886802,0.4419724566201121,-0.15043413305085995
min_variance_sentiment_shock,0.054519573429531176,0.12819764320469904,0.4252775017281502,-0.1520219735382854
max_sharpe,0.2517597620455394,0.24481778951671587,1.0283556703233347,-0.24171496661547975
max_sharpe_basic_sentiment,0.24931047194307943,0.2434254957210732,1.0241756772624568,-0.2432569264494855
max_sharpe_sentiment_shock,0.2462095833889948,0.24403085349811268,1.008928091918094,-0.24851633631948888
