date,method,asset,weight
2023-12-04,max_sharpe_sentiment,equity_ABT,3.8908636595753944e-15
2023-12-04,max_sharpe_sentiment,crypto_TRX-USD,3.706569075967923e-15
2023-12-04,max_sharpe_sentiment,equity_XOM,3.672451594821856e-15
2023-12-04,max_sharpe_sentiment,equity_KO,3.574487938170099e-15
2023-12-04,max_sharpe_sentiment,equity_T,3.501986160306097e-15
2023-12-04,max_sharpe_sentiment,equity_MMM,3.380802852026165e-15
2023-12-04,max_sharpe_sentiment,crypto_XLM-USD,3.3729949070401678e-15
2023-12-04,max_sharpe_sentiment,equity_V,3.353088172018309e-15
2023-12-04,max_sharpe_sentiment,equity_EA,3.229404723366954e-15
2023-12-04,max_sharpe_sentiment,equity_GILD,3.209834228087158e-15
2023-12-04,max_sharpe_sentiment,equity_COP,3.1360899951379166e-15
2023-12-04,max_sharpe_sentiment,equity_UPS,2.932540216460204e-15
2023-12-04,max_sharpe_sentiment,equity_NEE,2.5823848169490125e-15
2023-12-04,max_sharpe_sentiment,equity_AEP,2.3424124569175012e-15
2023-12-04,max_sharpe_sentiment,equity_CMCSA,2.32764468092137e-15
2023-12-04,max_sharpe_sentiment,equity_DIS,2.2809181069134826e-15
2023-12-04,max_sharpe_sentiment,equity_SLB,2.0519347978771427e-15
2023-12-04,max_sharpe_sentiment,equity_NUE,2.0216843215518738e-15
2023-12-04,max_sharpe_sentiment,equity_O,1.966254993186478e-15
2023-12-04,max_sharpe_sentiment,crypto_XRP-USD,1.9536658315577494e-15
2023-12-04,max_sharpe_sentiment,equity_DOW,1.7765625026870407e-15
2023-12-04,max_sharpe_sentiment,equity_NEM,1.77173159766104e-15
2023-12-04,max_sharpe_sentiment,equity_AMT,1.5445786171155831e-15
2023-12-04,max_sharpe_sentiment,equity_USB,1.4721583116476407e-15
2023-12-04,max_sharpe_sentiment,equity_GS,1.0497863275035139e-15
2023-12-04,max_sharpe_sentiment,equity_CAT,7.247908719059906e-16
2023-12-04,max_sharpe_sentiment,equity_CCI,6.7328597080142e-16
2023-12-04,max_sharpe_sentiment,equity_PSA,6.716153899631022e-16
2023-12-04,max_sharpe_sentiment,equity_D,6.606065496488963e-16
2023-12-04,max_sharpe_sentiment,equity_SHW,6.259063094340715e-16
2023-12-04,max_sharpe_sentiment,equity_DD,5.366604706267814e-16
2023-12-04,max_sharpe_sentiment,equity_OXY,4.926117814642311e-16
2023-12-04,max_sharpe_sentiment,equity_PLD,3.7864411337735076e-16
2023-12-04,max_sharpe_sentiment,equity_CVX,3.548140354103411e-16
2023-12-04,max_sharpe_sentiment,equity_WFC,2.433266263288529e-16
2023-12-04,max_sharpe_sentiment,equity_SBUX,2.354547152228478e-16
2023-12-04,max_sharpe_sentiment,crypto_ETH-USD,2.2832281673866976e-16
2023-12-04,max_sharpe_sentiment,equity_NKE,1.8280733610971974e-16
2023-12-04,max_sharpe_sentiment_shock,equity_GE,0.4862578977313085
2023-12-04,max_sharpe_sentiment_shock,equity_NVDA,0.17248629009199995
2023-12-04,max_sharpe_sentiment_shock,crypto_BTC-USD,0.12042296329506459
2023-12-04,max_sharpe_sentiment_shock,equity_ADBE,0.0697950686530974
2023-12-04,max_sharpe_sentiment_shock,equity_SO,0.06795984942265386
2023-12-04,max_sharpe_sentiment_shock,crypto_BCH-USD,0.04794611524781536
2023-12-04,max_sharpe_sentiment_shock,equity_INTC,0.023197707997634032
2023-12-04,max_sharpe_sentiment_shock,equity_TTWO,0.01193410756027027
2023-12-04,max_sharpe_sentiment_shock,crypto_ETC-USD,9.858611202723267e-15
2023-12-04,max_sharpe_sentiment_shock,equity_AMD,8.922139717591984e-15
2023-12-04,max_sharpe_sentiment_shock,crypto_LTC-USD,8.78013400487217e-15
2023-12-04,max_sharpe_sentiment_shock,crypto_EOS-USD,7.535626397386594e-15
2023-12-04,max_sharpe_sentiment_shock,equity_WMT,5.663447932911893e-15
2023-12-04,max_sharpe_sentiment_shock,crypto_ADA-USD,5.236803071556353e-15
2023-12-04,max_sharpe_sentiment_shock,equity_TMUS,5.190328758861492e-15
2023-12-04,max_sharpe_sentiment_shock,equity_DUK,4.9283414162772104e-15
2023-12-04,max_sharpe_sentiment_shock,equity_MRK,4.729830888053613e-15
2023-12-04,max_sharpe_sentiment_shock,equity_ABBV,4.588656797321297e-15
2023-12-04,max_sharpe_sentiment_shock,equity_MS,4.415119579375396e-15
2023-12-04,max_sharpe_sentiment_shock,equity_KO,4.3128924438029345e-15
2023-12-04,max_sharpe_sentiment_shock,equity_BA,4.09486270548865e-15
2023-12-04,max_sharpe_sentiment_shock,crypto_TRX-USD,4.009865178509812e-15
2023-12-04,max_sharpe_sentiment_shock,equity_QCOM,3.87280869159627e-15
2023-12-04,max_sharpe_sentiment_shock,equity_T,3.746046574526472e-15
2023-12-04,max_sharpe_sentiment_shock,equity_AMGN,3.664831764200056e-15
2023-12-04,max_sharpe_sentiment_shock,crypto_XLM-USD,3.648995755326471e-15
2023-12-04,max_sharpe_sentiment_shock,equity_ABT,3.480679593035459e-15
2023-12-04,max_sharpe_sentiment_shock,equity_XOM,3.463513993054062e-15
2023-12-04,max_sharpe_sentiment_shock,equity_EA,3.454468392493871e-15
2023-12-04,max_sharpe_sentiment_shock,equity_MMM,3.366292776572214e-15
2023-12-04,max_sharpe_sentiment_shock,equity_V,3.22019208934831e-15
2023-12-04,max_sharpe_sentiment_shock,equity_COP,2.9576677326264144e-15
2023-12-04,max_sharpe_sentiment_shock,equity_UPS,2.919954040431903e-15
2023-12-04,max_sharpe_sentiment_shock,equity_GILD,2.8714458979395143e-15
2023-12-04,max_sharpe_sentiment_shock,equity_NEE,2.823295174620407e-15
2023-12-04,max_sharpe_sentiment_shock,equity_DIS,2.752101738319623e-15
2023-12-04,max_sharpe_sentiment_shock,equity_AEP,2.5609358230348088e-15
2023-12-04,max_sharpe_sentiment_shock,equity_CMCSA,2.4898628905255644e-15
2023-12-04,max_sharpe_sentiment_shock,equity_NUE,2.1568330508523364e-15
2023-12-04,max_sharpe_sentiment_shock,crypto_XRP-USD,2.1135277470478824e-15
2023-12-04,max_sharpe_sentiment_shock,equity_O,2.06528859320525e-15
2023-12-04,max_sharpe_sentiment_shock,equity_SLB,1.93519361706571e-15
2023-12-04,max_sharpe_sentiment_shock,equity_DOW,1.895324943589139e-15
2023-12-04,max_sharpe_sentiment_shock,equity_NEM,1.8901710946353083e-15
2023-12-04,max_sharpe_sentiment_shock,equity_AMT,1.6223738072079318e-15
2023-12-04,max_sharpe_sentiment_shock,equity_USB,1.413810883053096e-15
2023-12-04,max_sharpe_sentiment_shock,equity_GS,1.0081791631795988e-15
2023-12-04,max_sharpe_sentiment_shock,equity_D,7.22234452319114e-16
2023-12-04,max_sharpe_sentiment_shock,equity_CAT,7.216801403135264e-16
2023-12-04,max_sharpe_sentiment_shock,equity_CCI,7.071971032647336e-16
2023-12-04,max_sharpe_sentiment_shock,equity_PSA,7.054423809314852e-16
2023-12-04,max_sharpe_sentiment_shock,equity_SHW,6.677478776153117e-16
2023-12-04,max_sharpe_sentiment_shock,equity_DD,5.725359927831405e-16
2023-12-04,max_sharpe_sentiment_shock,equity_OXY,4.645855103033474e-16
2023-12-04,max_sharpe_sentiment_shock,equity_PLD,3.977151340758948e-16
2023-12-04,max_sharpe_sentiment_shock,equity_CVX,3.3462752192798003e-16
2023-12-04,max_sharpe_sentiment_shock,equity_SBUX,2.8409407996555055e-16
2023-12-04,max_sharpe_sentiment_shock,crypto_ETH-USD,2.4700570622998214e-16
