date,method,equity_ABBV,equity_ABT,equity_ADBE,equity_AEP,equity_AMD,equity_AMGN,equity_AMT,equity_BA,equity_CAT,equity_CCI,equity_CMCSA,equity_COP,equity_CVX,equity_D,equity_DD,equity_DIS,equity_DOW,equity_DUK,equity_EA,equity_GE,equity_GILD,equity_GS,equity_INTC,equity_KO,equity_MMM,equity_MRK,equity_MS,equity_NEE,equity_NEM,equity_NKE,equity_NUE,equity_NVDA,equity_O,equity_OXY,equity_PLD,equity_PSA,equity_QCOM,equity_SBUX,equity_SHW,equity_SLB,equity_SO,equity_T,equity_TMUS,equity_TTWO,equity_UPS,equity_USB,equity_V,equity_WFC,equity_WMT,equity_XOM,crypto_ADA-USD,crypto_BCH-USD,crypto_BTC-USD,crypto_EOS-USD,crypto_ETC-USD,crypto_ETH-USD,crypto_LTC-USD,crypto_TRX-USD,crypto_XLM-USD,crypto_XRP-USD
2021-01-04,min_variance,0.16219045593610104,0.0,2.0892044722972348e-17,2.300060546329116e-17,0.0,0.0,4.50190772394005e-19,4.285357660021642e-17,0.0,2.937136192118723e-17,2.875846701269344e-17,0.0,1.3185672249877468e-17,0.0,0.0,1.1798677833154298e-17,0.0,2.5971813573674306e-17,0.07311458873806269,1.2390349900310458e-17,0.12688386749140643,1.580001044488405e-17,0.0,7.366452661297091e-17,0.07896385209944382,0.05875546408620639,7.063045129925659e-18,0.0,0.1365006193277802,0.005505567398776489,0.0,0.0,0.0,0.0,0.0,0.075656960015862,1.856370591419709e-17,0.0,0.0,8.584777168640082e-18,2.0212697604216708e-17,0.0,7.826438008713633e-18,0.03712737410474355,0.014435890930104677,0.0,0.0,2.1933810138759633e-17,0.23086535987151272,0.0,0.0,4.148134424081795e-18,7.264894785065075e-18,0.0,1.5973738872244085e-17,1.26718866946849e-17,1.040718790874954e-17,1.7385337334405945e-18,7.349604599728296e-18,0.0
2021-02-03,min_variance,0.14369854671583654,3.9683124528197123e-17,1.9303804090128822e-18,0.0,0.0,4.907147660482957e-17,0.0,1.4914237991145012e-17,2.6169897688845895e-17,0.0,3.0531529513340135e-18,8.05965276895555e-18,2.2122227299102136e-17,0.0,2.0894735251419135e-17,0.0,0.0,2.911252646816607e-17,0.08652370782427182,2.2941296666008578e-17,0.12116561976813153,2.810782640063256e-17,1.1904227379887869e-17,1.6857421942874504e-17,0.09992136397110252,0.07388814362142307,0.0,0.0,0.12703442127291345,0.0,8.119358213036348e-18,1.7606315824270812e-17,6.701427301260971e-18,4.6112966313770874e-18,0.0,0.07891606497553834,7.898610290226768e-18,0.0,2.142184915642403e-17,0.0,0.0,0.0,5.154299450200953e-18,0.03223403969830753,0.008665929740735837,0.0,1.543319997200275e-17,2.2726961038147318e-17,0.22795216241173916,0.0,0.0,3.529092636371512e-17,8.076289073527012e-18,9.808272732950307e-18,1.36901616817195e-17,0.0,0.0,0.0,0.0,0.0
2021-03-05,min_variance,0.13989433459370887,0.0,0.0,0.0,0.0,0.0,1.5452862184787014e-17,0.0,4.788414618493238e-18,1.3660974413838038e-17,0.0,0.0,2.0755673888592066e-17,0.0,0.0,0.0,0.0,3.9157063674254275e-17,0.08812981618220704,3.8258270891298464e-17,0.1456725683347075,0.0,6.730298486086999e-17,0.0010435177063553432,0.07496250863815518,0.07609215703664687,0.0,3.4211717276325557e-18,0.12087034191761108,1.3704598352524579e-17,3.565994504683524e-19,2.985599685110455e-17,0.0,2.4633244575408425e-17,1.296531557743582e-17,0.11042755057765388,0.0,0.0,0.0,1.584172506540132e-17,0.0,2.2949659323346356e-18,0.0,0.01682394939542694,1.80287285336432e-18,3.105041546722991e-17,0.0,2.2373317998983412e-17,0.22608325561752735,0.0,0.0,0.0,0.0,7.538645706079137e-18,0.0,3.704813759287233e-17,1.4129793401267167e-17,9.201832424615876e-18,0.0,2.856362679551346e-17
2021-04-06,min_variance,0.10654896971517773,3.199416309693911e-17,9.91211144046086e-18,0.015484243501948524,1.63017726782633e-17,0.0,0.0,0.0,0.0,0.0,1.1558647441120405e-17,0.0,8.645971277314482e-18,0.05427402289288134,0.0,0.001322852765937301,0.0,0.0,0.09684285536777933,3.1669814472372887e-18,0.0648973212119308,0.0,0.0,0.0,0.1155085676659016,0.0658320944918438,0.0,0.0,0.0,0.0,0.0,1.547229996630542e-17,0.0,0.0,0.0,0.08995302924397816,0.0,3.2719706876077084e-18,0.0,9.62297584350959e-18,2.2960139356956367e-18,0.08858617794858173,7.950926284105914e-18,0.0698913122168034,0.0,8.497830268613266e-18,0.0,0.0,0.2177113557305933,0.0,0.0,0.0,0.0002735747753772167,0.0,0.0,1.2589559194526514e-17,0.0,0.012873622471265873,4.097279198228822e-18,0.0
2021-05-05,min_variance,0.08074435528966692,1.656209721500074e-17,5.383922996312747e-18,0.054321545280327545,0.0,0.0,0.0,0.0,0.0,0.0,1.573630373662021e-17,0.0,0.0,0.08120645531205203,0.0,4.960865298888027e-19,0.0,0.02134470605261609,0.06362575250412693,0.0,0.04691881028574257,2.9052503709389217e-18,1.1606390903919468e-18,0.0,0.07180222919824879,0.10793199787602133,0.0,0.0,0.0,0.025648202746365957,1.5693527360575875e-17,0.0,0.0,3.701267040972801e-18,0.0,0.06362111946424788,6.503411796652434e-18,8.765885041975766e-18,4.978839874731763e-18,0.0,5.112603185184835e-18,0.1188859739991958,0.0,0.06003718597095577,1.889809323787135e-18,0.0,2.557339054269221e-18,0.0,0.19112264152006103,0.0,9.516198450298427e-19,3.98127666281322e-18,0.0036365751413187934,3.233791981107346e-18,7.091788461923297e-18,0.0,0.0,0.00915244935905269,4.429264486261556e-18,8.242370415517177e-18
2021-06-04,min_variance,0.049385793633648346,0.0,0.0,0.08564991980567736,2.301451439033933e-18,0.0,7.94063036949605e-18,0.0,0.0,4.070620649385491e-18,6.407466120109928e-19,5.427638032790787e-18,1.6253043832319794e-18,0.048888060099151934,4.803293906637506e-18,0.008443195097301646,0.0,0.017834207820486354,0.06256484246285149,0.0,0.05746606174779976,0.0,1.0331373325688717e-18,0.0,0.08594966849474207,0.11609522428951889,0.0,5.737610971029604e-18,3.3784305456428227e-18,0.025359341575681996,0.0,0.0,0.0,3.0120701900481364e-18,1.0481500360974403e-17,0.09124587651870132,7.130009315098585e-19,4.149107226597304e-18,1.2577621649765045e-18,0.0,0.0,0.11782004491122289,6.682719291492426e-18,0.05659113464005728,8.362598736816053e-18,7.34227789799716e-18,1.9763305004847764e-18,0.0,0.17295760155565823,2.3585060537470544e-18,8.495960213104589e-19,7.156611811709149e-18,0.0,0.0,0.0,0.0,0.0,0.003749027347500493,2.5764769715619677e-17,0.0
2021-07-06,min_variance,0.041774648950294695,0.0,5.2040309051890755e-18,0.07932140325645473,0.003894871711494472,0.0,0.0,7.284887558336758e-19,0.0,0.05324882502689189,5.801018067789954e-18,6.758033487164785e-18,4.490359658526758e-18,0.024087351639577537,0.0,0.014984202367592655,0.0,0.0,0.02409693359751811,0.0,0.025092943034524366,0.022922326249906012,0.0,0.0,0.09565552688879667,0.1327516621116617,1.874102662038832e-18,2.4192032203250917e-18,4.259417022921201e-18,0.03300365778491113,0.0,0.0,0.0,0.0,8.70282246767882e-18,0.10715082671454801,1.732056046015754e-18,0.020963974719717726,0.0,2.0061352417444741e-19,4.791044276070316e-18,0.15872956117271636,2.509280325169411e-18,0.05617466742601039,0.0,2.654305356954397e-19,1.4427302112636889e-18,0.0,0.09864168175497126,0.0,0.0,7.171494901350836e-19,2.173728364010995e-18,3.0616663942577114e-18,0.0,0.0,1.568701193122173e-17,0.007504935592412284,0.0,7.242823989023081e-18
2021-08-04,min_variance,0.03218503958239751,0.00939367184098615,1.8127445260497616e-17,0.07816747734115344,0.001240693349093892,7.888451649209665e-18,0.0,5.2162749288568e-18,0.0005522194528001043,0.06475073719642045,6.8293308851243315e-18,9.208851994801663e-18,0.0,0.0,0.0,0.01574835848936581,0.0,0.0159439271330922,0.020832679611010624,8.544001497101625e-18,0.021189987435333645,0.02215894606664069,3.988480757177817e-18,4.841765840630035e-18,0.08549283000173698,0.1420134942485803,0.0,2.7911806939254742e-18,7.884963390566367e-18,0.035864718414121526,6.945695777151933e-18,8.027054384442494e-18,0.0,0.0,0.0,0.10349049545667355,5.6712401926132745e-18,0.011983227761031551,0.0,7.291360817478317e-19,0.0,0.16770430380573634,7.175049571845444e-18,0.05999867348437654,0.0,4.01057523572687e-18,4.831308680073427e-18,3.685357862251364e-18,0.10426945154054351,0.0,3.5944639389347075e-18,0.0,7.329409376368475e-18,0.0,8.491720517753685e-18,2.0931626796806545e-18,3.648903397775959e-18,0.007019067788905235,0.0,7.396136581363535e-18
2021-09-02,min_variance,0.02064958906327229,0.003706810756500116,3.620033150341983e-18,0.08675015223038329,0.008931241890968245,8.916446707841429e-18,4.460172651188772e-18,5.2710791973057495e-18,0.000789578482510098,0.06685647902507617,0.0,0.0,1.2848841883212953e-17,0.0,0.0,0.015382700325152,0.0,0.009335226185204708,0.016150614054907735,0.0,0.018178140753771856,0.02654723792657279,0.0,0.0,0.08115667016905895,0.12973354064406564,2.405632750951277e-18,6.952270671855129e-18,5.202965715763446e-18,0.032491510477167106,0.0,3.4587239874623045e-18,0.0,0.0,1.3815521298848954e-17,0.1160831917703109,4.952057701336094e-18,0.0029526662933560504,0.0,6.790602659957032e-19,0.0,0.16431085117877473,0.0,0.06224395045622324,0.0,1.3385762858449598e-18,0.0,0.0,0.1295707261985063,1.262993762872721e-18,2.0398547492894832e-18,0.0,0.0,0.0,0.0,1.6673340598714465e-18,1.0102472707226942e-17,0.008179122118218002,1.0442993993348e-17,0.0
2021-10-04,min_variance,0.0,0.03785021465326857,0.0,0.05169490504161911,0.023924170605350802,0.0,0.0,4.782850929416789e-18,2.292894987062775e-18,0.09425821410979367,0.0,2.6850954393251663e-18,0.0,4.180593115297011e-18,0.0015654643189774704,0.002486559740188777,0.0,0.04885017062518507,0.046030310395233205,1.521838208817706e-17,0.0285476557655812,0.051923443667230396,0.0004990143090443212,0.014997829885777782,0.06741117615188617,0.1038168779791111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023851611768771507,1.3605240220681884e-17,0.10002913491469938,0.0,0.012434992543681274,1.8982463333606022e-18,0.0006077390584311814,0.0,0.13661832623964074,0.0,0.036925463289779935,0.0,3.2889171886442314e-19,1.3661804607333345e-18,0.0,0.1371431755286428,0.0,3.0121699637845535e-19,0.0,0.0,6.251770548892469e-19,0.0,0.0,1.0098260939388017e-17,0.0,5.874743224010726e-18,5.590191693059526e-18
2021-11-02,min_variance,0.0027562604644950904,0.05337245007355961,2.3306254172362458e-17,0.04887522009548142,0.03595991676630927,5.2159630063883344e-18,0.0,0.0,6.279992954979751e-18,0.05753752869379209,0.0,0.008444304149219048,3.953978426492092e-18,0.0,0.0,4.263644826022757e-18,0.0,0.05565575596109874,0.05388743139258289,0.0,0.04550334883999751,0.06460394422651575,0.0,0.06609101115681378,0.06330158635262428,0.07633218317858313,1.481618415257665e-18,0.0,2.5579442516647396e-18,0.0010847772460233563,0.0,0.0,1.4162316561111045e-18,0.0007418535203383203,5.064306869329964e-18,0.10157873389048598,3.2942986687793104e-18,0.010658796211064643,7.73891812240535e-18,9.626749855842113e-19,0.0,0.10750977586742604,0.0002249452849281979,0.029381489308495507,0.0108419269826576,7.297392319666414e-19,4.1422273608132215e-19,4.431622310138356e-18,0.1056567603375078,2.979657792926273e-19,4.134763079790262e-18,0.0,0.0,0.0,1.1364221317528664e-17,1.379902104955525e-18,9.078802795488922e-19,0.0,0.0,0.0
