date,sector,sentiment,sentiment_lag1,sentiment_mean_20,sentiment_std_20,sentiment_shock
2020-01-02,Comm,0.10897499999999999,,,,
2020-01-03,Comm,0.135575,0.10897499999999999,,,
2020-01-06,Comm,0.1738097222222222,0.135575,,,
2020-01-07,Comm,0.29263333333333336,0.1738097222222222,,,
2020-01-08,Comm,0.1929775,0.29263333333333336,,,
2020-01-09,Comm,0.16018,0.1929775,,,
2020-01-10,Comm,0.03584583333333334,0.16018,,,
2020-01-13,Comm,0.0015479166666666697,0.03584583333333334,,,
2020-01-14,Comm,0.0863,0.0015479166666666697,,,
2020-01-15,Comm,0.0006972222222222194,0.0863,,,
2020-01-16,Comm,0.1423625,0.0006972222222222194,,,
2020-01-17,Comm,0.0634,0.1423625,,,
2020-01-21,Comm,-0.027549999999999998,0.0634,,,
2020-01-22,Comm,0.18275,-0.027549999999999998,,,
2020-01-23,Comm,0.17530257142857142,0.18275,,,
2020-01-24,Comm,0.13886280303030302,0.17530257142857142,,,
2020-01-27,Comm,-0.0454159090909091,0.13886280303030302,,,
2020-01-28,Comm,0.08192250000000001,-0.0454159090909091,,,
2020-01-29,Comm,0.31587624999999997,0.08192250000000001,,,
2020-01-30,Comm,-0.006229166666666668,0.31587624999999997,,,
2020-01-31,Comm,-0.2358340909090909,-0.006229166666666668,0.11049115382395383,0.100161802151791,-1.1653176957992006
2020-02-03,Comm,0.1309225,-0.2358340909090909,0.09325069927849927,0.12661785783960203,-2.0
2020-02-04,Comm,0.11257899999999998,0.1309225,0.09301807427849927,0.12654025621248957,0.2995444047295958
2020-02-05,Comm,-0.008172916666666662,0.11257899999999998,0.08995653816738816,0.12521648028715257,0.18066680824067954
2020-02-06,Comm,0.06914000000000001,-0.008172916666666662,0.07491622566738816,0.11741322851587299,-0.7076642332752315
2020-02-07,Comm,-0.004900000000000005,0.06914000000000001,0.06872435066738816,0.11407743730639601,0.003643571791461874
2020-02-10,Comm,0.1355,-0.004900000000000005,0.06047035066738817,0.11307971367273442,-0.5780908754029694
2020-02-11,Comm,-0.032639117647058805,0.1355,0.0654530590007215,0.114128262337688,0.6137563085997084
2020-02-12,Comm,0.15365222222222222,-0.032639117647058805,0.06374370728503523,0.11538487432962134,-0.8353159414704224
2020-02-13,Comm,0.07625928571428571,0.15365222222222222,0.06711131839614633,0.11704871992430316,0.7393579689042559
2020-02-14,Comm,0.6249,0.07625928571428571,0.07088942157074951,0.11600703829508224,0.046289123681246824
2020-02-18,Comm,0.04021809523809524,0.6249,0.09501629657074952,0.1694996078045429,2.0
2020-02-19,Comm,0.18420416666666664,0.04021809523809524,0.09385720133265427,0.16980617534133755,-0.3158843074271937
2020-02-20,Comm,0.06464166666666667,0.18420416666666664,0.1044449096659876,0.16843388219457933,0.4735345166985999
2020-02-21,Comm,-0.06630555555555556,0.06464166666666667,0.09853949299932094,0.16761243089381078,-0.2022393336334935
2020-02-24,Comm,0.05190000000000001,-0.06630555555555556,0.08645908665011459,0.17047105145270158,-0.8961324571172473
2020-02-25,Comm,0.20084444444444446,0.05190000000000001,0.08211094649859943,0.17017286301202722,-0.17753092922027303
2020-02-26,Comm,0.15698333333333334,0.20084444444444446,0.09442396417536712,0.1693671812116836,0.6283418045203675
2020-02-27,Comm,0.164925,0.15698333333333334,0.09817700584203379,0.1699063644587364,0.3461102100479662
2020-02-28,Comm,-0.09630999999999999,0.164925,0.0906294433420338,0.16293658773171593,0.4559783514080823
2020-03-02,Comm,0.12158333333333332,-0.09630999999999999,0.08612540167536711,0.16695056597829044,-1.0927510224738635
2020-03-03,Comm,0.050289999999999994,0.12158333333333332,0.10399627288748833,0.14881803219537568,0.11817828919250743
2020-03-04,Comm,0.12637083333333332,0.050289999999999994,0.09996464788748834,0.1491420357034673,-0.33306939692210125
2020-03-05,Comm,0.181035,0.12637083333333332,0.100654239554155,0.14923528640847278,0.17232247411506468
2020-03-06,Comm,0.0698625,0.181035,0.11011463538748834,0.1479651414160627,0.4793045438526019
2020-03-09,Comm,-0.013662499999999998,0.0698625,0.11015076038748832,0.14795469896471258,-0.2723013237794978
