date,min_variance,max_sharpe,min_variance_sentiment,max_sharpe_sentiment
2020-12-31,0.005174224231866776,0.002130405552664119,0.005174224231866776,0.002130405552664119
2021-01-04,-0.013853969646230296,0.00029497359743107024,-0.013853969646230296,0.00029497359743107176
2021-01-05,0.04694648382670244,0.07554182830975814,0.04694648382670244,0.07554182830975814
2021-01-06,0.08631971745516759,0.1540225705965852,0.0863197174551676,0.15402257059658522
2021-01-07,0.06881186272128556,0.05402573562458764,0.06881186272128555,0.05402573562458764
2021-01-08,0.02920953740002148,0.02802837263620988,0.029209537400021482,0.02802837263620988
2021-01-11,-0.07819823769413006,-0.07108178435459109,-0.07819823769413005,-0.07108178435459109
2021-01-12,-0.04080816524691336,-0.037599874882257044,-0.04080816524691336,-0.037599874882257044
2021-01-13,0.09399605480892827,0.097807207592491,0.09399605480892828,0.09780720759249098
2021-01-14,0.04168733171627143,0.044324467881694224,0.04168733171627143,0.044324467881694224
2021-01-15,-0.05442842006008037,-0.06007674811934289,-0.054428420060080376,-0.060076748119342896
2021-01-19,-0.015166729344487529,-0.015142215448294631,-0.015166729344487529,-0.015142215448294633
2021-01-20,-0.013369732381631711,-0.014729007073779795,-0.013369732381631711,-0.014729007073779795
2021-01-21,-0.12753880401052378,-0.13379185157913503,-0.12753880401052375,-0.13379185157913506
2021-01-22,0.06535628722631204,0.07073625646544901,0.06535628722631204,0.07073625646544901
2021-01-25,-0.00020781720083398294,-0.00153477387852729,-0.00020781720083398302,-0.0015347738785272899
2021-01-26,0.005218562881291038,0.005370715004445847,0.005218562881291038,0.005370715004445846
2021-01-27,-0.06300103194981378,-0.06778684823184604,-0.06300103194981378,-0.06778684823184604
2021-01-28,0.09354487519224718,0.1127127993008177,0.09354487519224718,0.11271279930081769
2021-01-29,0.0367199450771894,0.023593615431641582,0.03671994507718939,0.023593615431641575
2021-02-01,0.009421437115366332,0.017016313014698272,0.009421437115366332,0.017016313014698276
2021-02-02,0.00656118048980704,0.04119825832251399,0.006682618563097386,0.040976588699081155
2021-02-03,-0.0026405969898760364,0.023629014767918538,-0.0028485737745222953,0.023305346975725887
2021-02-04,0.0021887705593606763,-0.009035473511287334,0.002153125674688127,-0.008806371352079635
2021-02-05,0.014651567526941477,0.026558415372394478,0.014651272916903489,0.026130690041791027
2021-02-08,0.0030808578285843958,0.09618936748933835,0.0029979556294010496,0.09584868476403158
2021-02-09,-0.0006830271042227729,0.0032413827668320715,-0.0007045032097029362,0.003000352588465166
2021-02-10,-0.007068345352820102,-0.00015075981341712563,-0.007092980850773541,0.0003522983340089881
2021-02-11,-0.00479151981519064,0.046700629456644,-0.004609455670538743,0.04659295767794348
2021-02-12,0.004283864731218649,0.018780982792116464,0.004250067654982335,0.018269055062306118
